EAN,ID,Type,sub_type,Count,main_ingredient,sub_ingredient1,sub_ingredient2,sub_ingredient3,sub_ingredient4,sub_ingredient5,sub_ingredient6,sub_ingredient7,diet_type,meat_type,is_new,Price_per_100g,Price_per_stuck,Weight(g),Brennwert(KJ),Brennwert(Kcal),Fett(g),gesättigte Fettsäuren(g),Kohlenhydrate(g),Zucker(g),Ballaststoffe(g),Eiweiß(g),Salz(g),Enthält,Allergic_material,Religious_kosher,Zutaten
M01,4260705920003,Maki,,8,Frischkäse,,,,,,,,dairy,,,3.57,3.39,95,716,171,7.7,4.7,21,4.3,0.7,3.9,2,Milch,TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Frischkäse 20% (Molkenerzeugnisse aus Milch), Speisesalz, Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
M02,4260705920010,Maki,,8,Lachs,,,,,,,,meat,sea,,4.52,4.29,95,689,163,3.8,0.8,22,3.5,1,10,1.9,Lachs,,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Lachs 25% (Salmo salar), Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
M03,4260705920027,Maki,,8,Avocado,,,,,,,,veg,,,4.09,3.89,95,693,166,7.4,0.9,20,3.7,2.7,3.2,1.8,,,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Avocado 25%, Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
M04,4260705920034,Maki,,8,Gurke,,,,,,,,veg,,,4.09,3.89,95,423,100,0.5,0.1,21,5.3,1,2,1.8,,,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Gurke 25%, Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
M05,4260705920041,Maki,,8,Thunfisch,,,,,,,,meat,sea,,5.15,4.89,95,673,159,4.6,1.2,22,4.9,0.7,7.6,1.9,Thunfisch,,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Thunfisch 25%, Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
M06,4260705920058,Maki,,8,Hühnchen,Frischkäse,Gurke,,,,,,meat,bird,,3.78,3.59,95,648,154,5.2,2.5,21,5.2,0.8,4.9,1.9,Milch,TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), gebratenes Hähnchenbrustfilet 10% (Hähnchenbrustfilet 99%,Salz, Pfeffer), Frischkäse 10% (Molkenerzeugnisse aus Milch), Gurke 10%, Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
M07,4260705920065,Maki,,8,Lachs,Avocado,Salat,,,,,,meat,,,4.21,5.69,135,445,105,3.2,0.7,15,2.5,0.8,3.6,1.1,,,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Lachs 15% (Salmo salar), Avocado 15%, Kopfsalat, Reispapier (Reismehl, Tapiokamehl,Wasser, Salz) Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
M08,4260705920072,Ura Maki,,8,Lachs,Avocado,,,,,,,meat,sea,,4.44,5.99,135,640,152,5.6,1.2,19,4.8,1.5,5.8,1.6,"Lachs, Sesamsamen",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Lachs 15% (Salmo salar), Avocado 15%, Sesam, Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
M09,4260705920089,Edamame,Salat,1,,,,,,,,,veg,,TRUE,3.99,2.99,75,518,123,5,0.8,6.5,1.8,,9,0,Sojabohnen,TRUE,,"Sojabohnen, Salz"
M10a,4260705920096,Ura Maki,,8,Gurke,gelber Rettich,Avocado,,,,,,veg,,,3.86,5.59,145,477,113,2.8,0.4,18,3.6,2.4,2.6,1.5,Sesamsamen,TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Gurke 15%, Rettich 15% (Rettich 90%, Wasser Salz, Säuerungsmittel: E260, E 330, Konservierungsstoffe: E 202, E223; Süßungsmittel: E 950, E 951 (Aspartam), E 954; Farbstoff: E 101), Avocado 10%, Sesam, Algen. Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
M11,4260705920102,Ura Maki,Scharf,8,Surimi,Gurke,,,,,,,meat,sea,,4.12,6.79,165,608,144,5,1.2,21,4.2,0.9,3.8,1.9,"Eigelb, Eiklar, Lachs, Seehecht, Senf, Sesamsamen, Soja, Weizen",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Surimi 20% (Surimi 50% (Alaska Seelachs, Seehecht, Zucker), Wasser, Stärke (enthält Weizen glutenfrei) Eiklar, Zucker, Salz, Krabbenaroma, modifizierte Stärke, Farbstoffe E160c, E120), Gurke 20%, Avocado 10%, Mayonnaise (Sonnenblumenöl, Wasser, Eigelb, Essig, Salz, Dextrose), Sriracha (Chili 51%, Zucker, Knoblauch, Salz, Wasser, Säuerungsmittel: E330, E260, Geschmacksverstärker E621, Verdickungsmitteln E415, Konservierungsstoff E202), Zucker, Shichimi (Chilipfeffer, Orangenschalen, weißer Sesam, schwarzer Sesam, Seetang, japanischer Pfeffer, Ingwer), Algen, Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
M12,4260705920119,Ura Maki,Kunsprig,8,Hühnchen,,,,,,,,meat,bird,,4.21,7.99,190,708,169,6.4,2.7,22,5.9,1.5,5.3,1.7,"Eigelb, Senf, Soja, Sojabohnen, Weizen",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), gebratenes Hähnchenbrustfilet 10% (Hähnchenbrustfilet 99%,Salz, Pfeffer), Gurke 14%, Röstzwiebeln 12% (Zwiebeln 72%, nachhaltiges Palmöl, Buchweizen, Reisstärke, Salz), Avocado 10%, Sushisoße (Sojasauce (Sojabohnen, Weizen, Salz, Alkohol, Wasser), Zucker, Wasser, fermentieres Reisgewürz (Reis, Glukose, Glukose-Fructose Sirup, Stärkesirup, Zucker, Alkohol, Salz, Wasser), Reiswein, Branntweinessig, Hefeextrakt, modifizierte Maisstärke, Farbstoff: E 150a), 10%, Mayonnaise (Sonnenblumenöl, Wasser, Eigelb, Essig, Salz, Dextrose, Sriracha (Chili 51% Zucker, Knoblauch, Salz, Wasser, Säuerungsmittel: E330, E260, Geschmacksverstärker E621, Verdickungsmitteln E415, Konservierungsstoff E202), Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
M13a,4260705920126,Ura Maki,Scharf,8,Thunfischtatar,,,,,,,,meat,sea,,5.45,8.99,165,597,142,4.4,0.9,18,3.6,1.1,7,2,"Sesamsamen, Thunfisch",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Thunfisch 90%, Gurke 10%, Avocado 10 %, Salz, Zucker, Sesam, Seamöl, Sriracha (Chili 51%, Zucker, Knoblauch, Salz, Wasser, Säuerungsmittel: E330, E260, Geschmacksverstärker E621, Verdickungsmitteln E415, Konservierungsstoff E202), Shichimi (Chilipfeffer, Orangenschalen, weißer Sesam, schwarzer Sesam, Seetang, japanischer Pfeffer, Ingwer), Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
M14a,4260705920133,Ura Maki,Scharf,8,Lachstatar,,,,,,,,meat,sea,,5.45,8.99,165,666,159,6,1.2,18,3.6,1.1,7.4,2,"Lachs, Sesamsamen",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Lachs 90% (Salmo salar), Gurke 10%, Avocado 10 %, Salz, Zucker, Sesam, Seamöl, Sriracha (Chili 51%, Zucker, Knoblauch, Salz, Wasser, Säuerungsmittel: E330, E260, Geschmacksverstärker E621, Verdickungsmitteln E415, Konservierungsstoff E202), Shichimi (Chilipfeffer, Orangenschalen, weißer Sesam, schwarzer Sesam, Seetang, japanischer Pfeffer, Ingwer), Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
M15,4260705920140,Ura Maki,,8,Hühnchen,Avocado,Gurke,Wakame,,,,,meat,bird,,4.31,8.19,190,614,146,5.7,1.1,19,5.3,1.1,4.3,1.9,"Eigelb, Sesamöl, Sesamsamen, Sojabohnen, Weizen",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl) Algensalat 10 % [Seealgen 88 %), Chili, Fruktose, Marinade (Sesamöl, Sojasauce - (Sojabohnen,Weizen, Salz, Zucker), Essig, Wasser, Farbstoffe (E100,133))], gebratenes Hähnchenbrustfilet 10% (Hähnchenbrustfilet 99%,Salz, Pfeffer), Avocado 10 %, Gurke 10 %, Sushisoße (Sojasauce (Sojabohnen, Weizen, Salz, Alkohol, Wasser), Zucker, Wasser, fermentieres Reisgewürz (Reis, Glukose, Glukose-Fructose Sirup, Stärkesirup, Zucker, Alkohol, Salz, Wasser), Reiswein, Branntweinessig, Hefeextrakt, modifizierte Maisstärke, Farbstoff: E 150a), Mayonnaise (Sonnenblumenöl, Wasser, Eigelb, Essig, Salz, Dextrose), Sriracha (Chili 51%, Zucker, Knoblauch, Salz, Wasser, Säuerungsmittel: E330, E260, Geschmacksverstärker E621, Verdickungsmitteln E415, Konservierungsstoff E202), Zucker, Shichimi (Chilipfeffer, Orangenschalen, weißer Sesam, schwarzer Sesam, Seetang, japanischer Pfeffer, Ingwer), Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
M16,4260705920157,Ura Maki,Kunsprig,8,Surimi,Avocado,Gurke,Röstzwiebeln,,,,,meat,sea,,3.94,7.49,190,,,,,,,,,,"Eiklar, Lachs, Seehecht, Sesamsamen, Sojabohnen, Weizen",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Surimi 20 %(Surimi 50% (Alaska Seelachs, Seehecht, Zucker), Wasser, Stärke (enthält Weizen glutenfrei) Eiklar, Zucker, Salz, Krabbenaroma, modifizierte Stärke, Farbstoffe E160c, E120), Röstzwiebeln 10 % (Zwiebeln (72%), nachhaltiges Palmöl, Buchweizen, Reisstärke, Salz), Avocado 10 %, Gurke 10 %, Sushisoße (Sojasauce (Sojabohnen, Weizen, Salz, Alkohol, Wasser), Zucker, Wasser, fermentieres Reisgewürz (Reis, Glukose, Glukose-Fructose Sirup, Stärkesirup, Zucker, Alkohol, Salz, Wasser), Reiswein, Branntweinessig, Hefeextrakt, modifizierte Maisstärke, Farbstoff: E 150a), Mayonnaise (Sonnenblumenöl, Wasser, Eigelb, Essig, Salz, Dextrose), Sriracha (Chili 51%, Zucker, Knoblauch, Salz, Wasser, Säuerungsmittel: E330, E260, Geschmacksverstärker E621, Verdickungsmitteln E415, Konservierungsstoff E202), Zucker, Shichimi (Chilipfeffer, Orangenschalen, weißer Sesam, schwarzer Sesam, Seetang, japanischer Pfeffer, Ingwer), Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
M17,4260705920164,Ura Maki,Kunsprig,8,vegetarisch,Röstzwiebeln,,,,,,,veg,,,3.94,7.49,190,648,155,6.1,2.6,21,5.7,1.4,3.4,2,"Eigelb, Sesamsamen, Sojabohnen, Weizen",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Röstzwiebeln 10 % (Zwiebeln (72%), nachhaltiges Palmöl, Buchweizen, Reisstärke, Salz), Gurke 15 %, Avocado 10 %, Rettich 15% (Rettich 90%, Wasser Salz, Säuerungsmittel: E260, E 330, Konservierungsstoffe: E 202, E223; Süßungsmittel: E 950, E 951 (Aspartam), E 954; Farbstoff: E 101), Sushisoße (Sojasauce (Sojabohnen, Weizen, Salz, Alkohol, Wasser), Zucker, Wasser, fermentieres Reisgewürz (Reis, Glukose, Glukose-Fructose Sirup, Stärkesirup, Zucker, Alkohol, Salz, Wasser), Reiswein, Branntweinessig, Hefeextrakt, modifizierte Maisstärke, Farbstoff: E 150a), Mayonnaise (Sonnenblumenöl, Wasser, Eigelb, Essig, Salz, Dextrose), Sriracha (Chili 51%, Zucker, Knoblauch, Salz, Wasser, Säuerungsmittel: E330, E260, Geschmacksverstärker E621, Verdickungsmitteln E415, Konservierungsstoff E202), Zucker, Shichimi (Chilipfeffer, Orangenschalen, weißer Sesam, schwarzer Sesam, Seetang, japanischer Pfeffer, Ingwer), Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
M18,4260705920171,Ura Maki,Kunsprig,8,Lachs,Avocado,Gurke,Röstzwiebeln,,,,,meat,sea,,4.36,8.29,190,780,186,7.9,3,22,1.7,1.5,6.1,1.7,"Eigelb, Lachs, Sesamsamen, Sojabohnen, Weizen",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Lachs [Salmo salar] 13 %, Röstzwiebeln 10 % (Zwiebeln (72%), nachhaltiges Palmöl, Buchweizen, Reisstärke, Salz), Avocado 10 %, Gurke 10 %, Sushisoße (Sojasauce (Sojabohnen, Weizen, Salz, Alkohol, Wasser), Zucker, Wasser, fermentieres Reisgewürz (Reis, Glukose, Glukose-Fructose Sirup, Stärkesirup, Zucker, Alkohol, Salz, Wasser), Reiswein, Branntweinessig, Hefeextrakt, modifizierte Maisstärke, Farbstoff: E 150a), Mayonnaise (Sonnenblumenöl, Wasser, Eigelb, Essig, Salz, Dextrose), Sriracha (Chili 51%, Zucker, Knoblauch, Salz, Wasser, Säuerungsmittel: E330, E260, Geschmacksverstärker E621, Verdickungsmitteln E415, Konservierungsstoff E202), Zucker, Shichimi (Chilipfeffer, Orangenschalen, weißer Sesam, schwarzer Sesam, Seetang, japanischer Pfeffer, Ingwer), Algen. Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
M19,4260705920188,Ura Maki,,8,gelbem Rettich,Gurke,Avocado,Tosago,,,,,veg,,,4.41,7.49,170,478,114,2.6,0.4,20,5,1.2,2.3,2.1,,,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Avocado 10 %, Rettich 15% (Rettich 90%, Wasser, Salz, Säuerungsmittel: E260, E 330, Konservierungsstoffe: E 202, E223; Süßungsmittel: E 950, E 951 (Aspartam), E 954; Farbstoff: E 101), Gurke 15 %, Tosago 6% (Seealgenextrakt (61%), Invertzuckersirup, Salz, Aroma, Säuerungsmittel: E 330, Konservierungsstoffe: E 202, E 211; Farbstoffe: E 160c, E 160a), Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
M20,4260705920348,Nigiri,,6,Thunfisch,,,,,,,,meat,sea,,5.29,8.89,168,558,132,2.5,0.7,18,3.1,0.5,9.2,1.7,Thunfisch,,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Thunfisch 25%"
M21,4260705920331,Nigiri,,6,Lachs,,,,,,,,meat,sea,,5.5,8.69,158,674,160,5.2,1.1,18,3.1,0.5,10,1.7,Lachs,,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Lachs [Salmo salar] 25 %"
M22,4260705920195,Gyoza,Teigtaschen,6,Kimchi,,,,,,,,veg,,,3.99,5.99,150,592,151,3.7,1.4,20,1.5,,6.8,0.8,"Fisch, Soja, Weizen",TRUE,,"Teig (Weizenmehl, Wasser, Karotten, Chili, Farbstoff: E 160c), Kimchi (18%): (Weißkohl, Chilipulver, Zucker, Fruktosesirup, Salz, Wasser, Fischsauce, Zwiebeln, Meeretlich, Garnelenöl, Kartoffelstärke, Lauch, Ingwer, Frühlingszwiebeln, Knoblauch: Geschmacksverstärker: E621. Verdickungsmittel: E415), Sojaprotein, Weißkohl, Zwiebeln, Lauch, Palmöl, Sojasoße (Wasser, Sojabohnen, Weizen, Salz), Zucker: Frühlingszwiebeln, Modifizierte Kartoffelstärke, Sesamöl, Ingwer, Knoblauch, Salz, Sojaöl, Geschmacksverstärker: E631, Pfeffer"
M23,4260705920201,Gyoza,Teigtaschen,6,Hühnchen,,,,,,,,meat,bird,,3.99,5.99,150,491,117,1.7,0.4,17,1.7,,7.1,0.1,"Sesamöl, Soja, Weizen",TRUE,,"Weißkohl, Hühnerfleisch (20%), Weizenmehl, Wasser, Zwiebeln (6%), Lauch (4%), Pfeffer, Zucker, modifizierte Stärke, Kochwein (Wasser, Alkohol, Zucker), Sojaprotein, Knoblauch, Salz, Sojaöl, Sesamöl, Geschmacksverstärker: E631"
M24,4260705920218,Gyoza,Teigtaschen,6,Gemüse,,,,,,,,veg,,,4.54,4.99,110,529,126,2.2,0.5,16,2.1,,6.2,1.1,"Sesamöl, Weizen",TRUE,,"Sojaprotein, Weißkohl (21%), Weizenmehl, Wasser, Möhren (7%). Zwiebeln (6%), Glasnudeln (Mungobohnenstärke, Wasser), Spinat, Lauch (4%), Palmöl, Sojasauce (Sojabohnen, Weizen,Salz), Zucker Frühlingszwiebeln (11%), modifizierte Stärke, Salz, Knoblauch, Sesamöl, Ingwer, Geschmacksverstärker:E631"
M25,4260705920225,Algen,Salat,1,Algen,,,,,,,,veg,,,4.39,3.29,75,297,71,3,0,11,6.1,,1.1,2.2,"Sojabohnen, Weizen",TRUE,,"Wakame [Seealgen (88 %) Chili, Fruktose, Marinade (Sesamöl, Sojasauce (Sojabohnen, Weizen, Salz, Zucker), Essig, Wasser, Farbstoffe (E100, 133))]. Kann Spuren von Krebstieren, Ei, Fisch, Milch und Senf enthalten."
M26,4260705920232,Sashimi,,5,Lachs,,,,,,,,meat,sea,,13.32,7.99,60,522,124,4,1.8,0,0,,22,0.2,Lachs,,,Lachs [Salmo salar]
M27,4260705920249,Ura Maki,,8,Gurke,Frischkäse,,,,,,,veg,,,3.91,4.69,120,579,137,3.6,2.1,22,4.4,0.7,3.5,2,"Milch, Sesamsamen",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Gurke 15 %, Frischkäse 15% (Molkenerzeugnisse aus Milch), Speisesalz, Sesam, Algen"
M28,4260705920256,Ura Maki,,8,Matjes,Apfel,Altländer Apfel Curry Soße,,,,,,meat,sea,,4.84,7.99,165,514,122,2.2,0.7,21,6.3,0.8,4.4,2.5,"Fisch, Sesamsamen",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Apfel 15 %, Matjes 15% (Hering Clupea harengus, Speisesalz), rote Zwiebeln 2%, Altländer Apfel Curry Soße (Geschälte, pürierte Tomaten 39%; Apfelwürfel 19%; Zwiebeln; naturtrüber Apfelsaft; Tomatenmark, 2fach konzentriert; Honig; Curry Gewürzmischung 1,1 %; Salz; Verdickungsmittel: Johannisbrotkernmehl; Pfeffer; Sonnenblumenöl), Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
M29,4260705920379,Tin-fis-sal,Salat,1,Tintenfisch,Sesame,,,,,,,meat,sea,,5.99,4.49,75,577,138,4.4,0.7,16,13,,8.7,1.5,"Sesamöl, Sesamsamen, Tintenfisch",TRUE,,"Tintenfisch 70%, Yama Kurage (Salatstängel), Zucker, Mu-Err Pilze, Reisessig, Sesamöl, Ingwer, Sesam 1,2%, Reiswein, Verdickungsmittel: E415, Chili, Farbstoff: E 160a, Bambussprossen"
M31,4260705920393,Lot-Kar,Salat,1,Lotus,Karotten,Sesame,,,,,,veg,,,3.99,2.99,75,441,105,2.5,0.4,20,11,2.6,1.5,1.5,"Sesamsamen, Sojabohnen, Weizen",TRUE,,"Lotuswurzeln 34%, Karotten 30%, Sojasauce (Sojabohnen, Wasser, Weizen, Salz), Zucker, Reiswürze (Fruktose, Wasser, Klebereis, Salz), Sesamöl, Sesam 1%, Salz, Verdickungsmittel: E415, Chilipulver, Säurungsmittel: E330"
M32,4260705920423,Ura Maki,,8,gekochtem Thunfisch,,,,,,,,meat,sea,,3.56,4.99,140,493,116,0.8,0.3,22,5,0.5,5.5,2.2,"Eigelb, Sesamsamen, Thunfisch",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), gekochter Thunfisch (Thunfisch, Wasser, Salz) 15%, Gurke 20%, Mayonnaise (Sonnenblumenöl, Wasser, Eigelb, Essig, Salz, Dextrose), Sriracha (Chili 51%, Zucker, Knoblauch, Salz, Wasser, Säuerungsmittel: E330, E260, Geschmacksverstärker E621, Verdickungsmitteln E415, Konservierungsstoff E202), Zucker, Shichimi (Chilipfeffer, Orangenschalen, weißer Sesam, schwarzer Sesam, Seetang, japanischer Pfeffer, Ingwer), Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
M34,4260705920447,Nigiri,,6,Meeraal,,,,,,,,meat,sea,TRUE,5.4,7.99,148,641,152,4.3,0.2,23,3.6,0.5,5.6,2,"Fisch, Sojabohnen, Weizen",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Anago 25% (Meeraal 90%, Marinade (Wasser, Zucker, Sojasauce (Sojabohnen, Wasser, Weizen, Salz), Reiswein, Maissirup, Speisestärke, Verdickungsmittel: E412)"
M35,4260705920454,Nigiri,,6,Makrele,,,,,,,,meat,sea,TRUE,5.2,7.69,148,782,184,8,1.6,21,4.1,0.5,6.8,2.3,Fisch,,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Makrele 25% (Makrele 94%, Marinade (Wasser, Reisweinessig, Zucker, Algensaft, Salz)"
M36,4260705920461,Nigiri,,6,gegrilltem Tintenfisch,,,,,,,,meat,sea,TRUE,5.4,7.99,148,475,112,0.6,0.1,20,3.5,0.5,6.5,1.9,Fisch,,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Tintenfisch 25%"
M37,4260705920430,Ura Maki,,8,Lachs,Trüffelcreme,,,,,,,meat,sea,TRUE,4.99,9.49,190,850,204,14,1.5,14,2.8,1.7,4.6,1.5,Lachs,,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft,Sonnenblumenöl), Lachs 15% (Salmo salar), Avocado 15%, Gurke 10%, Creme (Sonnenblumenöl, Wasser, modifizierte Stärke, Brandweinessig, Zucker, Salz, Gewürzextrakt, Trüffelaroma (1%), Senfsaat, Steinpilze, Sommertrüffel (Tuber aestvum) (0,1%)) Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
M38,4260705920485,Nigiri,,6,Schwertfisch,,,,,,,,meat,sea,TRUE,4.42,6.99,158,526,124,1.8,0.8,18,3.1,0.5,8.9,1.7,Fisch,,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Schwertfisch 25%"
M40,4260705920515,Ura Maki,,8,Schwertfisch,Avocado,,,,,,,meat,sea,TRUE,4.07,5.49,135,493,117,4,1.8,1,0.5,0.5,19,0.2,"Fisch, Sesamsamen",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Schwertfisch 15%, Avocado 15%, Sesam, Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
M43,4260705920546,Ura Maki,Scharf,8,Hühnchen,Avocado,Gurke,,,,,,meat,bird,TRUE,4.72,7.79,165,625,149,5.8,1.3,19,4.7,1.2,4.3,1.9,"Eigelb, Sesamsamen",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), gebratenes Hähnchenbrustfilet 10% (Hähnchenbrustfilet 99%, Salz, Pfeffer), Gurke 10%, Avocado 10%, Mayonnaise (Sonnenblumenöl, Wasser, Eigelb, Essig, Salz, Dextrose), Sriracha (Chili 51%, Zucker, Knoblauch, Salz, Wasser, Säuerungsmittel: E330, E260, Geschmacksverstärker E621, Verdickungsmitteln E415, Konservierungsstoff E202), Zucker, Shichimi (Chilipfeffer, Orangenschalen, weißer Sesam, schwarzer Sesam, Seetang, japanischer Pfeffer, Ingwer), Sesam, Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
M44,4260705920553,Maki,Scharf,8,Schwertfisch,scharfer Majonäse,,,,,,,meat,sea,TRUE,4.73,4.49,95,709,169,6.5,1.8,20,3.9,0.6,7.2,1.8,"Eigelb, Fisch, Sesamsamen",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Schwertfisch 25%, Mayonnaise (Sonnenblumenöl, Wasser, Eigelb, Essig, Salz, Dextrose), Sriracha (Chili 51%, Zucker, Knoblauch, Salz, Wasser, Säuerungsmittel: E330, E260, Geschmacksverstärker E621, Verdickungsmitteln E415, Konservierungsstoff E202), Zucker, Shichimi (Chilipfeffer, Orangenschalen, weißer Sesam, schwarzer Sesam, Seetang, japanischer Pfeffer, Ingwer), Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
